timestamp,count,uniques
2026-05-13T00:00:00Z,3,3
2026-05-14T00:00:00Z,9,9
2026-05-15T00:00:00Z,4,4
2026-05-16T00:00:00Z,3,3
2026-05-17T00:00:00Z,4,4
2026-05-18T00:00:00Z,8,7
2026-05-19T00:00:00Z,3,3
2026-05-20T00:00:00Z,9,8
2026-05-21T00:00:00Z,3,3
2026-05-22T00:00:00Z,3,3
2026-05-23T00:00:00Z,2,2
2026-05-24T00:00:00Z,0,0
2026-05-25T00:00:00Z,5,4
2026-05-26T00:00:00Z,3,3
2026-05-27T00:00:00Z,63,34
2026-05-28T00:00:00Z,16,8
2026-05-29T00:00:00Z,24,18
2026-05-30T00:00:00Z,15,11
2026-05-31T00:00:00Z,14,8
2026-06-01T00:00:00Z,20,13
2026-06-02T00:00:00Z,9,7
2026-06-03T00:00:00Z,25,17
2026-06-04T00:00:00Z,18,16
2026-06-05T00:00:00Z,21,13
2026-06-06T00:00:00Z,14,11
2026-06-07T00:00:00Z,25,15
2026-06-08T00:00:00Z,26,16
